original label,tagset,ahu,hvac_zone,floor,room,unit,parsed tagset
ductPressOptStatusV5th Floor Perimeter Devices VAS2,Supply Air Duct Pressure Status,,2,5,,,duct_Press_Opt_StatusV_th_Floor_Perimeter_Devices_VAS
ductPressOptStatusVBasement Perimeter Devices2,Supply Air Duct Pressure Status,,2,0,,,duct_Press_Opt_StatusV_Basement_Perimeter_Devices
ductPressOptStatusVChilled Beam Source VAS3,Supply Air Duct Pressure Status,,3,,,,duct_Press_Opt_StatusV_Chilled_Beam_Source_VAS
economizerStatusA1st Floor Area1,Economizer Mode Status,,1,1,,,economizer_StatusA_st_Floor_Area
economizerStatusA2nd Floor Area1,Economizer Mode Status,,1,2,,,economizer_StatusA_nd_Floor_Area
economizerStatusA5th Floor Area1,Economizer Mode Status,,1,5,,,economizer_StatusA_th_Floor_Area
economizerStatusAAuditorium Area4,Economizer Mode Status,,4,1,,,economizer_StatusA_Auditorium_Area
economizerStatusABasement Area2,Economizer Mode Status,,2,0,,,economizer_StatusA_Basement_Area
heatCoolModeStatusA1st Floor Area1,Heating On Off Status,,1,1,,,heat_Cool_Mode_StatusA_st_Floor_Area
heatCoolModeStatusA2nd Floor Area1,Heating On Off Status,,1,2,,,heat_Cool_Mode_StatusA_nd_Floor_Area
heatCoolModeStatusA3rd Floor Area1,Heating On Off Status,,1,3,,,heat_Cool_Mode_StatusA_rd_Floor_Area
heatCoolModeStatusA5th Floor Area1,Heating On Off Status,,1,5,,,heat_Cool_Mode_StatusA_th_Floor_Area
heatCoolModeStatusAAuditorium Area4,Heating On Off Status,,4,1,,,heat_Cool_Mode_StatusA_Auditorium_Area
heatCoolModeStatusABasement Area2,Heating On Off Status,,2,0,,,heat_Cool_Mode_StatusA_Basement_Area
heatCoolModeStatusARoom 305 Area2,Heating On Off Status,,2,,305,,heat_Cool_Mode_StatusA_Room_Area
heatCoolModeStatusARoom 306 Area3,Heating On Off Status,,3,,306,,heat_Cool_Mode_StatusA_Room_Area
heatCoolModeStatusARoom 322 Area4,Heating On Off Status,,4,,322,,heat_Cool_Mode_StatusA_Room_Area
heatCoolModeStatusARoom 324 Area5,Heating On Off Status,,5,,324,,heat_Cool_Mode_StatusA_Room_Area
operatingMode1st Floor Chilled Beam VAS2,VAV Box Operating Mode ,,2,1,,,operating_Mode_st_Floor_Chilled_Beam_VAS
operatingMode1st Foor Perimeter Devices VAS1,VAV Box Operating Mode ,,1,1,,,operating_Mode_st_Foor_Perimeter_Devices_VAS
operatingMode2nd Floor Chilled Beam Source VAS2,VAV Box Operating Mode ,,2,2,,,operating_Mode_nd_Floor_Chilled_Beam_Source_VAS
operatingMode2nd Floor Perimeter Devices VAS1,VAV Box Operating Mode ,,1,2,,,operating_Mode_nd_Floor_Perimeter_Devices_VAS
operatingMode5th Floor Chilled Beam VAS1,VAV Box Operating Mode ,,1,5,,,operating_Mode_th_Floor_Chilled_Beam_VAS
operatingMode5th Floor Perimeter Devices VAS2,VAV Box Operating Mode ,,2,5,,,operating_Mode_th_Floor_Perimeter_Devices_VAS
operatingModeA1st Floor Area1,VAV Box Operating Mode ,,1,1,,,operating_ModeA_st_Floor_Area
operatingModeA2nd Floor Area1,VAV Box Operating Mode ,,1,2,,,operating_ModeA_nd_Floor_Area
operatingModeA3rd Floor Area1,VAV Box Operating Mode ,,1,3,,,operating_ModeA_rd_Floor_Area
operatingModeA5th Floor Area1,VAV Box Operating Mode ,,1,5,,,operating_ModeA_th_Floor_Area
operatingModeAAuditorium Area4,VAV Box Operating Mode ,,4,1,,,operating_ModeA_Auditorium_Area
operatingModeABasement Area2,VAV Box Operating Mode ,,2,0,,,operating_ModeA_Basement_Area
operatingModeARoom 305 Area2,VAV Box Operating Mode ,,2,,305,,operating_ModeA_Room_Area
operatingModeARoom 306 Area3,VAV Box Operating Mode ,,3,,306,,operating_ModeA_Room_Area
operatingModeARoom 322 Area4,VAV Box Operating Mode ,,4,,322,,operating_ModeA_Room_Area
operatingModeARoom 324 Area5,VAV Box Operating Mode ,,5,,324,,operating_ModeA_Room_Area
operatingModeBasement Perimeter Devices2,VAV Box Operating Mode ,,2,0,,,operating_Mode_Basement_Perimeter_Devices
operatingModeChilled Beam Source VAS3,VAV Box Operating Mode ,,3,,,,operating_Mode_Chilled_Beam_Source_VAS
operatingModeV3rd Floor CB VAS2,VAV Box Operating Mode ,,2,3,,,operating_ModeV_rd_Floor_CB_VAS
operatingModeV3rd Floor Perimiter VAS3,VAV Box Operating Mode ,,3,3,,,operating_ModeV_rd_Floor_Perimiter_VAS
systemMode1st Floor Chilled Beam VAS2,System Mode,,2,1,,,system_Mode_st_Floor_Chilled_Beam_VAS
systemMode1st Foor Perimeter Devices VAS1,System Mode,,1,1,,,system_Mode_st_Foor_Perimeter_Devices_VAS
systemMode2nd Floor Chilled Beam Source VAS2,System Mode,,2,2,,,system_Mode_nd_Floor_Chilled_Beam_Source_VAS
systemMode2nd Floor Perimeter Devices VAS1,System Mode,,1,2,,,system_Mode_nd_Floor_Perimeter_Devices_VAS
systemMode5th Floor Chilled Beam VAS1,System Mode,,1,5,,,system_Mode_th_Floor_Chilled_Beam_VAS
systemMode5th Floor Perimeter Devices VAS2,System Mode,,2,5,,,system_Mode_th_Floor_Perimeter_Devices_VAS
systemModeBasement Perimeter Devices2,System Mode,,2,0,,,system_Mode_Basement_Perimeter_Devices
systemModeChilled Beam Source VAS3,System Mode,,3,,,,system_Mode_Chilled_Beam_Source_VAS
ventOptStatusV1st Floor Chilled Beam VAS2,Vent Operating Mode,,2,1,,,vent_Opt_StatusV_st_Floor_Chilled_Beam_VAS
ventOptStatusV1st Foor Perimeter Devices VAS1,Vent Operating Mode,,1,1,,,vent_Opt_StatusV_st_Foor_Perimeter_Devices_VAS
ventOptStatusV2nd Floor Chilled Beam Source VAS2,Vent Operating Mode,,2,2,,,vent_Opt_StatusV_nd_Floor_Chilled_Beam_Source_VAS
ventOptStatusV2nd Floor Perimeter Devices VAS1,Vent Operating Mode,,1,2,,,vent_Opt_StatusV_nd_Floor_Perimeter_Devices_VAS
ventOptStatusV5th Floor Chilled Beam VAS1,Vent Operating Mode,,1,5,,,vent_Opt_StatusV_th_Floor_Chilled_Beam_VAS
ventOptStatusV5th Floor Perimeter Devices VAS2,Vent Operating Mode,,2,5,,,vent_Opt_StatusV_th_Floor_Perimeter_Devices_VAS
ventOptStatusVBasement Perimeter Devices2,Vent Operating Mode,,2,0,,,vent_Opt_StatusV_Basement_Perimeter_Devices
ventOptStatusVChilled Beam Source VAS3,Vent Operating Mode,,3,,,,vent_Opt_StatusV_Chilled_Beam_Source_VAS
Active Cool DAT Stptscc2AV003,Discharge Air Temperature Cooling Setpoint,,2,,,3,Active_Cool_DAT_Stptscc_AV
Active Heat DAT Stptscc2AV005,Discharge Air Temperature Heating Setpoint,,2,,,5,Active_Heat_DAT_Stptscc_AV
Cooling Stpt Activescc2AV006,Discharge Air Temperature Cooling Setpoint,,2,,,6,Cooling_Stpt_Activescc_AV
Cooling Stpt Localdac3AV008,Discharge Air Temperature Cooling Setpoint,,3,,,8,Cooling_Stpt_Localdac_AV
Freeze Protect Low Limitpgm1AV013,Freeze Protect Low Limit,,1,,,13,Freeze_Protect_Low_Limitpgm_AV
Heating Stpt Activescc2AV007,Discharge Air Temperature Heating Setpoint,,2,,,7,Heating_Stpt_Activescc_AV
High Static Cutout Limitscc2AV022,High Static Pressure Cutout Limit,,2,,,22,High_Static_Cutout_Limitscc_AV
LT Chiller CHW SP OPR,Chilled Water Supply Temperature Sensor,,,,,,LT_Chiller_CHW_SP_OPR
Max CoolMin Ht DAT Stptscc2TrAV03,Discharge Air Temperature Cooling Setpoint,,2,,,3,Max_Cool_Min_Ht_DAT_Stptscc_TrAV
OA CO Damper Close Limit,Outside Air Damper Close Limit Setpoint,,,,,,OA_CO_Damper_Close_Limit
Occupied Offsetscc2,Unknown,,2,,,,Occupied_Offsetscc
Occupied Standby Offsetscc2,Unknown,,2,,,,Occupied_Standby_Offsetscc
RMI527 Zone Temp 8 Stpt,Zone Temperature Setpoint,,8,,527,,RMI_Zone_Temp_Stpt
Return CO2 Diffdac1TrAV04,Return Air CO2 Sensor,,1,,,4,Return_CO_Diffdac_TrAV
Return CO2 Diffdac2TrAV04,Return Air CO2 Sensor,,2,,,4,Return_CO_Diffdac_TrAV
Return CO2 Diffdac3TrAV04,Return Air CO2 Sensor,,3,,,4,Return_CO_Diffdac_TrAV
Space CO2 Concentration BASscc2,CO2 Sensor,,2,,,,Space_CO_Concentration_BASscc
Space CO2 Limit,CO2 Sensor,,,,,,Space_CO_Limit
Space CO2 Low Limit,CO2 Sensor,,,,,,Space_CO_Low_Limit
Space Humidity High Limit,High Humidity Alarm Setpoint,,,,,,Space_Humidity_High_Limit
Space Humidity Low Limit,Low Humidity Alarm Setpoint,,,,,,Space_Humidity_Low_Limit
Space Stpt Activescc2AV017,Unknown,,2,,,17,Space_Stpt_Activescc_AV
Thumbwheel Set point Hi Limit,Thumbwheel Temperature High Limit Setpoint ,,,,,,Thumbwheel_Set_point_Hi_Limit
Thumbwheel Set point Lo Limit,Thumbwheel Temperature Low Limit Setpoint ,,,,,,Thumbwheel_Set_point_Lo_Limit
Ventilation Ratio Limit BAS,Ventilation Air Flow Ratio Limit Setpoint,,,,,,Ventilation_Ratio_Limit_BAS
deltaTemperatureA1st Floor Area1,Unknown,,1,1,,,delta_TemperatureA_st_Floor_Area
deltaTemperatureA2nd Floor Area1,Unknown,,1,2,,,delta_TemperatureA_nd_Floor_Area
deltaTemperatureA5th Floor Area1,Unknown,,1,5,,,delta_TemperatureA_th_Floor_Area
deltaTemperatureAAuditorium Area4,Unknown,,4,1,,,delta_TemperatureA_Auditorium_Area
deltaTemperatureABasement Area2,Unknown,,2,0,,,delta_TemperatureA_Basement_Area
diagCalculationA1st Floor Area1,Unknown,,1,1,,,diag_CalculationA_st_Floor_Area
diagCalculationA2nd Floor Area1,Unknown,,1,2,,,diag_CalculationA_nd_Floor_Area
diagCalculationA5th Floor Area1,Unknown,,1,5,,,diag_CalculationA_th_Floor_Area
diagCalculationABasement Area2,Unknown,,2,0,,,diag_CalculationA_Basement_Area
diagVasSourceTempFailureVBasement Perimeter Devices2,Unknown,,2,,,,diag_Vas_Source_Temp_FailureV_Basement_Perimeter_Devices
diagVasSourceTempFailureVChilled Beam Source VAS3,Unknown,,3,,,,diag_Vas_Source_Temp_FailureV_Chilled_Beam_Source_VAS
diagVasSystemFailureV2nd Floor Chilled Beam Source VAS2,Unknown,,2,2,,,diag_Vas_System_FailureV_nd_Floor_Chilled_Beam_Source_VAS
diagVasSystemFailureV2nd Floor Perimeter Devices VAS1,Unknown,,1,2,,,diag_Vas_System_FailureV_nd_Floor_Perimeter_Devices_VAS
diagVasSystemFailureVBasement Perimeter Devices2,Unknown,,2,0,,,diag_Vas_System_FailureV_Basement_Perimeter_Devices
diagVasSystemFailureVChilled Beam Source VAS3,Unknown,,3,,,,diag_Vas_System_FailureV_Chilled_Beam_Source_VAS
diagVasUnableToDriveMaxV2nd Floor Chilled Beam Source VAS2,Unknown,,1,2,,,diag_Vas_Unable_To_Drive_MaxV_nd_Floor_Chilled_Beam_Source_VAS
diagVasUnableToDriveMaxV2nd Floor Perimeter Devices VAS1,Unknown,,2,2,,,diag_Vas_Unable_To_Drive_MaxV_nd_Floor_Perimeter_Devices_VAS
diagVasUnableToDriveMaxVBasement Perimeter Devices2,Unknown,,2,0,,,diag_Vas_Unable_To_Drive_MaxV_Basement_Perimeter_Devices
diagVasUnableToDriveMaxVChilled Beam Source VAS3,Unknown,,3,0,,,diag_Vas_Unable_To_Drive_MaxV_Chilled_Beam_Source_VAS
diagnosticAlarmPresentA1st Floor Area1,Unknown,,1,1,,,diagnostic_Alarm_PresentA_st_Floor_Area
diagnosticAlarmPresentA2nd Floor Area1,Unknown,,1,2,,,diagnostic_Alarm_PresentA_nd_Floor_Area
diagnosticAlarmPresentA5th Floor Area1,Unknown,,1,5,,,diagnostic_Alarm_PresentA_th_Floor_Area
ductPressOptMaxPos1st Floor Chilled Beam VAS2,Supply Air Duct Max Position Setpoint,,2,1,,,duct_Press_Opt_Max_Pos_st_Floor_Chilled_Beam_VAS
ductPressOptMaxPos1st Foor Perimeter Devices VAS1,Supply Air Duct Max Position Setpoint,,1,1,,,duct_Press_Opt_Max_Pos_st_Foor_Perimeter_Devices_VAS
ductPressOptMaxPos2nd Floor Chilled Beam Source VAS2,Supply Air Duct Max Position Setpoint,,2,2,,,duct_Press_Opt_Max_Pos_nd_Floor_Chilled_Beam_Source_VAS
ductPressOptMaxPos2nd Floor Perimeter Devices VAS1,Supply Air Duct Max Position Setpoint,,1,2,,,duct_Press_Opt_Max_Pos_nd_Floor_Perimeter_Devices_VAS
ductPressOptMaxPos5th Floor Chilled Beam VAS1,Supply Air Duct Max Position Setpoint,,1,5,,,duct_Press_Opt_Max_Pos_th_Floor_Chilled_Beam_VAS
ductPressOptMaxPos5th Floor Perimeter Devices VAS2,Supply Air Duct Max Position Setpoint,,2,5,,,duct_Press_Opt_Max_Pos_th_Floor_Perimeter_Devices_VAS
ductPressOptMaxPosBasement Perimeter Devices2,Supply Air Duct Max Position Setpoint,,2,0,,,duct_Press_Opt_Max_Pos_Basement_Perimeter_Devices
ductPressOptMaxPosChilled Beam Source VAS3,Supply Air Duct Max Position Setpoint,,3,,,,duct_Press_Opt_Max_Pos_Chilled_Beam_Source_VAS
economizerDisableDifferentialDryBulbA1st Floor Area1,Economizer Disable Differential Temperature,,1,1,,,economizer_Disable_Differential_Dry_BulbA_st_Floor_Area
economizerDisableDifferentialDryBulbA2nd Floor Area1,Economizer Disable Differential Temperature,,1,5,,,economizer_Disable_Differential_Dry_BulbA_nd_Floor_Area
economizerDisableDifferentialDryBulbA5th Floor Area1,Economizer Disable Differential Temperature,,1,5,,,economizer_Disable_Differential_Dry_BulbA_th_Floor_Area
economizerDisableDifferentialDryBulbAAuditorium Area4,Economizer Disable Differential Temperature,,4,1,,,economizer_Disable_Differential_Dry_BulbA_Auditorium_Area
economizerDisableDifferentialDryBulbABasement Area2,Economizer Disable Differential Temperature,,2,0,,,economizer_Disable_Differential_Dry_BulbA_Basement_Area
economizerDisableDifferentialEnthalpyA1st Floor Area1,Economizer Disable Differential Enthalpy,,1,1,,,economizer_Disable_Differential_EnthalpyA_st_Floor_Area
economizerDisableDifferentialEnthalpyA2nd Floor Area1,Economizer Disable Differential Enthalpy,,1,2,,,economizer_Disable_Differential_EnthalpyA_nd_Floor_Area
economizerDisableDifferentialEnthalpyA5th Floor Area1,Economizer Disable Differential Enthalpy,,1,5,,,economizer_Disable_Differential_EnthalpyA_th_Floor_Area
economizerDisableDifferentialEnthalpyAAuditorium Area4,Economizer Disable Differential Enthalpy,,4,1,,,economizer_Disable_Differential_EnthalpyA_Auditorium_Area
economizerDisableDifferentialEnthalpyABasement Area2,Economizer Disable Differential Enthalpy,,2,0,,,economizer_Disable_Differential_EnthalpyA_Basement_Area
economizerDisableFixedDewPointA1st Floor Area1,Economizer Disable Fixed Dew Point,,1,1,,,economizer_Disable_Fixed_Dew_PointA_st_Floor_Area
economizerDisableFixedDewPointA2nd Floor Area1,Economizer Disable Fixed Dew Point,,1,2,,,economizer_Disable_Fixed_Dew_PointA_nd_Floor_Area
economizerDisableFixedDewPointA5th Floor Area1,Economizer Disable Fixed Dew Point,,1,5,,,economizer_Disable_Fixed_Dew_PointA_th_Floor_Area
economizerDisableFixedDewPointAAuditorium Area4,Economizer Disable Fixed Dew Point,,4,1,,,economizer_Disable_Fixed_Dew_PointA_Auditorium_Area
economizerDisableFixedDewPointABasement Area2,Economizer Disable Fixed Dew Point,,2,0,,,economizer_Disable_Fixed_Dew_PointA_Basement_Area
economizerDisableFixedDryBulbA1st Floor Area1,Economizer Disable Fixed Temperature,,1,1,,,economizer_Disable_Fixed_Dry_BulbA_st_Floor_Area
economizerDisableFixedDryBulbA2nd Floor Area1,Economizer Disable Fixed Temperature,,1,2,,,economizer_Disable_Fixed_Dry_BulbA_nd_Floor_Area
economizerDisableFixedDryBulbA5th Floor Area1,Economizer Disable Fixed Temperature,,1,5,,,economizer_Disable_Fixed_Dry_BulbA_th_Floor_Area
economizerDisableFixedDryBulbAAuditorium Area4,Economizer Disable Fixed Temperature,,4,1,,,economizer_Disable_Fixed_Dry_BulbA_Auditorium_Area
economizerDisableFixedDryBulbABasement Area2,Economizer Disable Fixed Temperature,,2,0,,,economizer_Disable_Fixed_Dry_BulbA_Basement_Area
economizerDisableFixedEnthalpyA1st Floor Area1,Economizer Disable Fixed Enthalpy,,1,1,,,economizer_Disable_Fixed_EnthalpyA_st_Floor_Area
economizerDisableFixedEnthalpyA2nd Floor Area1,Economizer Disable Fixed Enthalpy,,1,2,,,economizer_Disable_Fixed_EnthalpyA_nd_Floor_Area
economizerDisableFixedEnthalpyA5th Floor Area1,Economizer Disable Fixed Enthalpy,,1,5,,,economizer_Disable_Fixed_EnthalpyA_th_Floor_Area
economizerDisableFixedEnthalpyAAuditorium Area4,Economizer Disable Fixed Enthalpy,,4,1,,,economizer_Disable_Fixed_EnthalpyA_Auditorium_Area
economizerDisableFixedEnthalpyABasement Area2,Economizer Disable Fixed Enthalpy,,2,0,,,economizer_Disable_Fixed_EnthalpyA_Basement_Area
economizerEnableDifferentialDryBulbA1st Floor Area1,Economizer Enable Differential Temperature,,1,1,,,economizer_Enable_Differential_Dry_BulbA_st_Floor_Area
economizerEnableDifferentialDryBulbA2nd Floor Area1,Economizer Enable Differential Temperature,,1,2,,,economizer_Enable_Differential_Dry_BulbA_nd_Floor_Area
economizerEnableDifferentialDryBulbA5th Floor Area1,Economizer Enable Differential Temperature,,1,5,,,economizer_Enable_Differential_Dry_BulbA_th_Floor_Area
economizerEnableDifferentialDryBulbAAuditorium Area4,Economizer Enable Differential Temperature,,4,1,,,economizer_Enable_Differential_Dry_BulbA_Auditorium_Area
economizerEnableDifferentialDryBulbABasement Area2,Economizer Enable Differential Temperature,,2,0,,,economizer_Enable_Differential_Dry_BulbA_Basement_Area
economizerEnableDifferentialEnthalpyA1st Floor Area1,Economizer Enable Differential Enthalpy,,1,1,,,economizer_Enable_Differential_EnthalpyA_st_Floor_Area
economizerEnableDifferentialEnthalpyA2nd Floor Area1,Economizer Enable Differential Enthalpy,,1,2,,,economizer_Enable_Differential_EnthalpyA_nd_Floor_Area
economizerEnableDifferentialEnthalpyA5th Floor Area1,Economizer Enable Differential Enthalpy,,1,5,,,economizer_Enable_Differential_EnthalpyA_th_Floor_Area
economizerEnableDifferentialEnthalpyAAuditorium Area4,Economizer Enable Differential Enthalpy,,4,1,,,economizer_Enable_Differential_EnthalpyA_Auditorium_Area
economizerEnableDifferentialEnthalpyABasement Area2,Economizer Enable Differential Enthalpy,,2,0,,,economizer_Enable_Differential_EnthalpyA_Basement_Area
economizerEnableFixedDewPointA1st Floor Area1,Economizer Enable Fixed Dew Point,,1,1,,,economizer_Enable_Fixed_Dew_PointA_st_Floor_Area
economizerEnableFixedDewPointA2nd Floor Area1,Economizer Enable Fixed Dew Point,,1,2,,,economizer_Enable_Fixed_Dew_PointA_nd_Floor_Area
economizerEnableFixedDewPointA5th Floor Area1,Economizer Enable Fixed Dew Point,,1,5,,,economizer_Enable_Fixed_Dew_PointA_th_Floor_Area
economizerEnableFixedDewPointAAuditorium Area4,Economizer Enable Fixed Dew Point,,4,1,,,economizer_Enable_Fixed_Dew_PointA_Auditorium_Area
economizerEnableFixedDewPointABasement Area2,Economizer Enable Fixed Dew Point,,2,0,,,economizer_Enable_Fixed_Dew_PointA_Basement_Area
economizerEnableFixedDryBulbA1st Floor Area1,Economizer Enable Fixed Temperature,,1,1,,,economizer_Enable_Fixed_Dry_BulbA_st_Floor_Area
economizerEnableFixedDryBulbA2nd Floor Area1,Economizer Enable Fixed Temperature,,1,2,,,economizer_Enable_Fixed_Dry_BulbA_nd_Floor_Area
economizerEnableFixedDryBulbA5th Floor Area1,Economizer Enable Fixed Temperature,,1,5,,,economizer_Enable_Fixed_Dry_BulbA_th_Floor_Area
economizerEnableFixedDryBulbAAuditorium Area4,Economizer Enable Fixed Temperature,,4,1,,,economizer_Enable_Fixed_Dry_BulbA_Auditorium_Area
economizerEnableFixedDryBulbABasement Area2,Economizer Enable Fixed Temperature,,2,0,,,economizer_Enable_Fixed_Dry_BulbA_Basement_Area
economizerEnableFixedEnthalpyA1st Floor Area1,Economizer Enable Fixed Enthalpy,,1,1,,,economizer_Enable_Fixed_EnthalpyA_st_Floor_Area
economizerEnableFixedEnthalpyA2nd Floor Area1,Economizer Enable Fixed Enthalpy,,1,2,,,economizer_Enable_Fixed_EnthalpyA_nd_Floor_Area
economizerEnableFixedEnthalpyA5th Floor Area1,Economizer Enable Fixed Enthalpy,,1,5,,,economizer_Enable_Fixed_EnthalpyA_th_Floor_Area
economizerEnableFixedEnthalpyAAuditorium Area4,Economizer Enable Fixed Enthalpy,,4,1,,,economizer_Enable_Fixed_EnthalpyA_Auditorium_Area
economizerEnableFixedEnthalpyABasement Area2,Economizer Enable Fixed Enthalpy,,2,0,,,economizer_Enable_Fixed_EnthalpyA_Basement_Area
occupiedDifferenceA1st Floor Area1,Unknown,,1,1,,,occupied_DifferenceA_st_Floor_Area
occupiedDifferenceA2nd Floor Area1,Unknown,,1,2,,,occupied_DifferenceA_nd_Floor_Area
occupiedDifferenceA5th Floor Area1,Unknown,,1,5,,,occupied_DifferenceA_th_Floor_Area
occupiedDifferenceAAuditorium Area4,Unknown,,4,1,,,occupied_DifferenceA_Auditorium_Area
occupiedDifferenceABasement Area2,Unknown,,2,0,,,occupied_DifferenceA_Basement_Area
occupiedOffsetA1st Floor Area1,Unknown,,1,1,,,occupied_OffsetA_st_Floor_Area
occupiedOffsetA2nd Floor Area1,Unknown,,1,2,,,occupied_OffsetA_nd_Floor_Area
occupiedOffsetA5th Floor Area1,Unknown,,1,5,,,occupied_OffsetA_th_Floor_Area
occupiedOffsetABasement Area2,Unknown,,2,0,,,occupied_OffsetA_Basement_Area
standbyOffsetA1st Floor Area1,Unknown,,1,1,,,standby_OffsetA_st_Floor_Area
standbyOffsetA2nd Floor Area1,Unknown,,1,2,,,standby_OffsetA_nd_Floor_Area
standbyOffsetA5th Floor Area1,Unknown,,1,5,,,standby_OffsetA_th_Floor_Area
standbyOffsetAAuditorium Area4,Unknown,,4,1,,,standby_OffsetA_Auditorium_Area
standbyOffsetABasement Area2,Unknown,,2,0,,,standby_OffsetA_Basement_Area
unoccupiedDifferenceA1st Floor Area1,Unknown,,1,1,,,unoccupied_DifferenceA_st_Floor_Area
unoccupiedDifferenceA2nd Floor Area1,Unknown,,1,2,,,unoccupied_DifferenceA_nd_Floor_Area
unoccupiedDifferenceA5th Floor Area1,Unknown,,1,5,,,unoccupied_DifferenceA_th_Floor_Area
unoccupiedDifferenceAAuditorium Area4,Unknown,,4,1,,,unoccupied_DifferenceA_Auditorium_Area
unoccupiedDifferenceABasement Area2,Unknown,,2,0,,,unoccupied_DifferenceA_Basement_Area
ventRatioLimitAhuV1st Floor Chilled Beam VAS2,Ventilation Ratio Limit,,2,1,,,vent_Ratio_Limit_AhuV_st_Floor_Chilled_Beam_VAS
ventRatioLimitAhuV1st Foor Perimeter Devices VAS1,Ventilation Ratio Limit,,1,1,,,vent_Ratio_Limit_AhuV_st_Foor_Perimeter_Devices_VAS
ventRatioLimitAhuV2nd Floor Chilled Beam Source VAS2,Ventilation Ratio Limit,,2,2,,,vent_Ratio_Limit_AhuV_nd_Floor_Chilled_Beam_Source_VAS
ventRatioLimitAhuV2nd Floor Perimeter Devices VAS1,Ventilation Ratio Limit,,1,2,,,vent_Ratio_Limit_AhuV_nd_Floor_Perimeter_Devices_VAS
ventRatioLimitAhuV5th Floor Chilled Beam VAS1,Ventilation Ratio Limit,,1,5,,,vent_Ratio_Limit_AhuV_th_Floor_Chilled_Beam_VAS
ventRatioLimitAhuV5th Floor Perimeter Devices VAS2,Ventilation Ratio Limit,,2,5,,,vent_Ratio_Limit_AhuV_th_Floor_Perimeter_Devices_VAS
ventRatioLimitAhuVBasement Perimeter Devices2,Ventilation Ratio Limit,,2,0,,,vent_Ratio_Limit_AhuV_Basement_Perimeter_Devices
ventRatioLimitAhuVChilled Beam Source VAS3,Ventilation Ratio Limit,,3,,,,vent_Ratio_Limit_AhuV_Chilled_Beam_Source_VAS
ventRatioLimitVavV1st Floor Chilled Beam VAS2,Ventilation Ratio Limit,,2,1,,,vent_Ratio_Limit_VavV_st_Floor_Chilled_Beam_VAS
ventRatioLimitVavV1st Foor Perimeter Devices VAS1,Ventilation Ratio Limit,,1,1,,,vent_Ratio_Limit_VavV_st_Foor_Perimeter_Devices_VAS
ventRatioLimitVavV2nd Floor Chilled Beam Source VAS2,Ventilation Ratio Limit,,2,2,,,vent_Ratio_Limit_VavV_nd_Floor_Chilled_Beam_Source_VAS
ventRatioLimitVavV2nd Floor Perimeter Devices VAS1,Ventilation Ratio Limit,,1,2,,,vent_Ratio_Limit_VavV_nd_Floor_Perimeter_Devices_VAS
ventRatioLimitVavV5th Floor Chilled Beam VAS1,Ventilation Ratio Limit,,1,5,,,vent_Ratio_Limit_VavV_th_Floor_Chilled_Beam_VAS
ventRatioLimitVavV5th Floor Perimeter Devices VAS2,Ventilation Ratio Limit,,2,5,,,vent_Ratio_Limit_VavV_th_Floor_Perimeter_Devices_VAS
ventRatioLimitVavVBasement Perimeter Devices2,Ventilation Ratio Limit,,2,0,,,vent_Ratio_Limit_VavV_Basement_Perimeter_Devices
ventRatioLimitVavVChilled Beam Source VAS3,Ventilation Ratio Limit,,3,,,,vent_Ratio_Limit_VavV_Chilled_Beam_Source_VAS
2 Mag CHW Return Temp,Chilled Water Return Temperature,,2,,,,Mag_CHW_Return_Temp
2 Mag CHW Supply Temp,Chilled Water Discharge Temperature,,2,,,,Mag_CHW_Supply_Temp
2 Mag HW Return Temp,Hot Water Return Temperature,,2,,,,Mag_HW_Return_Temp
2 Mag HW Supply Temp,Hot Water Supply Temperature,,2,,,,Mag_HW_Supply_Temp
2nd Floor CHW Return Temp,Chilled Water Return Temperature,,,2,,,nd_Floor_CHW_Return_Temp
2nd Floor CHW Supply Temp,Chilled Water Discharge Temperature,,,2,,,nd_Floor_CHW_Supply_Temp
2nd Floor HW Return Temp,Hot Water Supply Temperature,,,2,,,nd_Floor_HW_Return_Temp
2nd Floor HW Supply Temp,Chilled Water Discharge Temperature,,,2,,,nd_Floor_HW_Supply_Temp
AHU 3 Supply Fan Temp,Discharge Air Temperature Sensor,3,,,,,AHU_Supply_Fan_Temp
AHU1 PreHeat Coil Temp,PreHeat Coil Leaving Air Temperature Sensor,1,,,,,AHU_Pre_Heat_Coil_Temp
AHU2 PreHeat Coil Temp,PreHeat Coil Leaving Air Temperature Sensor,2,,,,,AHU_Pre_Heat_Coil_Temp
AHU3 CHW Return Temppgm2UIP09,Chilled Water Return Temperature,3,2,,,9,AHU_CHW_Return_Temppgm_UIP
AHU3 HW Supply Temppgm2UIP11,Hot Water Supply Temperature,3,2,,,11,AHU_HW_Supply_Temppgm_UIP
CB CHW Return Temp,Chilled Water Return Temperature,,,,,,CB_CHW_Return_Temp
CB CHW Supply Temp,Chilled Water Discharge Temperature,,,,,,CB_CHW_Supply_Temp
CB Return Temp RMI308,Chilled Water Return Temperature,,,,308,,CB_Return_Temp_RMI
CB Supply Temp RMI308,Chilled Water Discharge Temperature,,,,308,,CB_Supply_Temp_RMI
CB Supply Temp,Chilled Water Discharge Temperature,,,,,,CB_Supply_Temp
CB228 CHW Return Temp,Chilled Water Return Temperature,,,,228,,CB_CHW_Return_Temp
